AREA NAME,Crm Cd Desc,Count
77th Street,ARSON,28
77th Street,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,21
77th Street,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1335
77th Street,ATTEMPTED ROBBERY,123
77th Street,BATTERY - SIMPLE ASSAULT,1050
77th Street,BATTERY POLICE (SIMPLE),69
77th Street,BATTERY WITH SEXUAL CONTACT,55
77th Street,BIKE - STOLEN,2
77th Street,BOAT - STOLEN,2
77th Street,BOMB SCARE,1
77th Street,BRANDISH WEAPON,330
77th Street,"BUNCO, ATTEMPT",7
77th Street,"BUNCO, GRAND THEFT",31
77th Street,"BUNCO, PETTY THEFT",16
77th Street,BURGLARY,461
77th Street,BURGLARY FROM VEHICLE,336
77th Street,"BURGLARY FROM VEHICLE, ATTEMPTED",3
77th Street,"BURGLARY, ATTEMPTED",31
77th Street,CHILD ABANDONMENT,1
77th Street,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,19
77th Street,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,71
77th Street,CHILD ANNOYING (17YRS & UNDER),13
77th Street,CHILD NEGLECT (SEE 300 W.I.C.),16
77th Street,CHILD PORNOGRAPHY,5
77th Street,CHILD STEALING,12
77th Street,CONTEMPT OF COURT,157
77th Street,CONTRIBUTING,1
77th Street,"CREDIT CARDS, FRAUD USE ($950 & UNDER",4
77th Street,CRIMINAL HOMICIDE,54
77th Street,CRIMINAL THREATS - NO WEAPON DISPLAYED,397
77th Street,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),34
77th Street,CRUELTY TO ANIMALS,4
77th Street,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",3
77th Street,DISCHARGE FIREARMS/SHOTS FIRED,72
77th Street,DISTURBING THE PEACE,1
77th Street,DOCUMENT FORGERY / STOLEN FELONY,20
77th Street,DOCUMENT WORTHLESS ($200.01 & OVER),1
77th Street,DRIVING WITHOUT OWNER CONSENT (DWOC),5
77th Street,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",8
77th Street,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",2
77th Street,EXTORTION,24
77th Street,FAILURE TO YIELD,64
77th Street,FALSE IMPRISONMENT,5
77th Street,FALSE POLICE REPORT,1
77th Street,GRAND THEFT / AUTO REPAIR,1
77th Street,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,57
77th Street,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,13
77th Street,ILLEGAL DUMPING,1
77th Street,INDECENT EXPOSURE,18
77th Street,INTIMATE PARTNER - AGGRAVATED ASSAULT,344
77th Street,INTIMATE PARTNER - SIMPLE ASSAULT,925
77th Street,KIDNAPPING,23
77th Street,KIDNAPPING - GRAND ATTEMPT,12
77th Street,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",76
77th Street,LEWD CONDUCT,5
77th Street,ORAL COPULATION,19
77th Street,OTHER ASSAULT,36
77th Street,OTHER MISCELLANEOUS CRIME,79
77th Street,PEEPING TOM,5
77th Street,PICKPOCKET,6
77th Street,PIMPING,9
77th Street,PURSE SNATCHING,1
77th Street,"RAPE, ATTEMPTED",4
77th Street,"RAPE, FORCIBLE",75
77th Street,RECKLESS DRIVING,4
77th Street,RESISTING ARREST,23
77th Street,ROBBERY,934
77th Street,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",22
77th Street,SEXUAL PENETRATION W/FOREIGN OBJECT,10
77th Street,SHOPLIFTING - ATTEMPT,1
77th Street,SHOPLIFTING - PETTY THEFT ($950 & UNDER),52
