Crime_Type,Count
VEHICLE - STOLEN,24741
THEFT OF IDENTITY,22130
BATTERY - SIMPLE ASSAULT,18058
BURGLARY FROM VEHICLE,14231
BURGLARY,14069
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",13359
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",12869
THEFT PLAIN - PETTY ($950 & UNDER),11380
INTIMATE PARTNER - SIMPLE ASSAULT,11177
THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),10080
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",8129
ROBBERY,7953
THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),7725
SHOPLIFTING - PETTY THEFT ($950 & UNDER),5346
VANDALISM - MISDEAMEANOR ($399 OR UNDER),5089
CRIMINAL THREATS - NO WEAPON DISPLAYED,4767
BRANDISH WEAPON,3494
INTIMATE PARTNER - AGGRAVATED ASSAULT,2898
VIOLATION OF RESTRAINING ORDER,2885
TRESPASSING,2754
"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1963
BIKE - STOLEN,1819
VIOLATION OF COURT ORDER,1578
"BUNCO, GRAND THEFT",1545
OTHER MISCELLANEOUS CRIME,1428
SHOPLIFTING-GRAND THEFT ($950.01 & OVER),1231
ATTEMPTED ROBBERY,1165
BATTERY WITH SEXUAL CONTACT,1033
"THEFT, PERSON",1023
PICKPOCKET,1016
OTHER ASSAULT,1009
"BURGLARY, ATTEMPTED",917
"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",916
DOCUMENT FORGERY / STOLEN FELONY,874
CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,872
"RAPE, FORCIBLE",869
CONTEMPT OF COURT,702
VEHICLE - ATTEMPT STOLEN,681
"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",652
DISCHARGE FIREARMS/SHOTS FIRED,612
BATTERY POLICE (SIMPLE),564
ARSON,531
EXTORTION,465
CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),446
FAILURE TO YIELD,428
SHOTS FIRED AT INHABITED DWELLING,426
"BUNCO, PETTY THEFT",425
DISTURBING THE PEACE,391
CRIMINAL HOMICIDE,391
SEXUAL PENETRATION W/FOREIGN OBJECT,328
INDECENT EXPOSURE,299
CHILD ANNOYING (17YRS & UNDER),282
CHILD NEGLECT (SEE 300 W.I.C.),281
"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",245
SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,237
VIOLATION OF TEMPORARY RESTRAINING ORDER,236
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,227
THEFT FROM MOTOR VEHICLE - ATTEMPT,217
RESISTING ARREST,210
KIDNAPPING,206
ORAL COPULATION,200
STALKING,176
THROWING OBJECT AT MOVING VEHICLE,173
LEWD CONDUCT,169
CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,147
UNAUTHORIZED COMPUTER ACCESS,143
SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,140
"BURGLARY FROM VEHICLE, ATTEMPTED",132
THREATENING PHONE CALLS/LETTERS,119
BOMB SCARE,119
"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",114
HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,105
PEEPING TOM,100
CHILD STEALING,96
THEFT PLAIN - ATTEMPT,94
FALSE IMPRISONMENT,90
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",79
"RAPE, ATTEMPTED",79
CHILD PORNOGRAPHY,76
CRUELTY TO ANIMALS,67
BATTERY ON A FIREFIGHTER,66
"BUNCO, ATTEMPT",65
KIDNAPPING - GRAND ATTEMPT,59
RECKLESS DRIVING,43
PROWLER,43
FALSE POLICE REPORT,42
"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",39
"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",38
"CREDIT CARDS, FRAUD USE ($950 & UNDER",35
DRIVING WITHOUT OWNER CONSENT (DWOC),31
