Date,Year,Month,DayOfWeek,DayOfWeekNum,Total_Crimes
2022-01-01,2022,1,Saturday,5,1006
2022-01-02,2022,1,Sunday,6,617
2022-01-03,2022,1,Monday,0,659
2022-01-04,2022,1,Tuesday,1,566
2022-01-05,2022,1,Wednesday,2,592
2022-01-06,2022,1,Thursday,3,560
2022-01-07,2022,1,Friday,4,627
2022-01-08,2022,1,Saturday,5,503
2022-01-09,2022,1,Sunday,6,504
2022-01-10,2022,1,Monday,0,587
2022-01-11,2022,1,Tuesday,1,495
2022-01-12,2022,1,Wednesday,2,587
2022-01-13,2022,1,Thursday,3,546
2022-01-14,2022,1,Friday,4,602
2022-01-15,2022,1,Saturday,5,696
2022-01-16,2022,1,Sunday,6,559
2022-01-17,2022,1,Monday,0,567
2022-01-18,2022,1,Tuesday,1,539
2022-01-19,2022,1,Wednesday,2,611
2022-01-20,2022,1,Thursday,3,622
2022-01-21,2022,1,Friday,4,637
2022-01-22,2022,1,Saturday,5,614
2022-01-23,2022,1,Sunday,6,635
2022-01-24,2022,1,Monday,0,557
2022-01-25,2022,1,Tuesday,1,528
2022-01-26,2022,1,Wednesday,2,567
2022-01-27,2022,1,Thursday,3,522
2022-01-28,2022,1,Friday,4,659
2022-01-29,2022,1,Saturday,5,613
2022-01-30,2022,1,Sunday,6,588
2022-01-31,2022,1,Monday,0,581
2022-02-01,2022,2,Tuesday,1,969
2022-02-02,2022,2,Wednesday,2,816
2022-02-03,2022,2,Thursday,3,731
2022-02-04,2022,2,Friday,4,619
2022-02-05,2022,2,Saturday,5,644
2022-02-06,2022,2,Sunday,6,600
2022-02-07,2022,2,Monday,0,619
2022-02-08,2022,2,Tuesday,1,565
2022-02-09,2022,2,Wednesday,2,598
2022-02-10,2022,2,Thursday,3,619
2022-02-11,2022,2,Friday,4,655
2022-02-12,2022,2,Saturday,5,646
2022-02-13,2022,2,Sunday,6,705
2022-02-14,2022,2,Monday,0,627
2022-02-15,2022,2,Tuesday,1,578
2022-02-16,2022,2,Wednesday,2,590
2022-02-17,2022,2,Thursday,3,585
2022-02-18,2022,2,Friday,4,699
2022-02-19,2022,2,Saturday,5,583
2022-02-20,2022,2,Sunday,6,609
2022-02-21,2022,2,Monday,0,562
2022-02-22,2022,2,Tuesday,1,588
2022-02-23,2022,2,Wednesday,2,558
2022-02-24,2022,2,Thursday,3,512
2022-02-25,2022,2,Friday,4,626
2022-02-26,2022,2,Saturday,5,582
2022-02-27,2022,2,Sunday,6,638
2022-02-28,2022,2,Monday,0,623
2022-03-01,2022,3,Tuesday,1,965
2022-03-02,2022,3,Wednesday,2,813
2022-03-03,2022,3,Thursday,3,743
2022-03-04,2022,3,Friday,4,654
2022-03-05,2022,3,Saturday,5,621
2022-03-06,2022,3,Sunday,6,574
2022-03-07,2022,3,Monday,0,605
2022-03-08,2022,3,Tuesday,1,618
2022-03-09,2022,3,Wednesday,2,560
2022-03-10,2022,3,Thursday,3,615
2022-03-11,2022,3,Friday,4,683
2022-03-12,2022,3,Saturday,5,623
2022-03-13,2022,3,Sunday,6,546
2022-03-14,2022,3,Monday,0,565
2022-03-15,2022,3,Tuesday,1,633
2022-03-16,2022,3,Wednesday,2,632
2022-03-17,2022,3,Thursday,3,608
2022-03-18,2022,3,Friday,4,686
2022-03-19,2022,3,Saturday,5,625
2022-03-20,2022,3,Sunday,6,656
2022-03-21,2022,3,Monday,0,660
2022-03-22,2022,3,Tuesday,1,609
2022-03-23,2022,3,Wednesday,2,654
2022-03-24,2022,3,Thursday,3,613
2022-03-25,2022,3,Friday,4,685
2022-03-26,2022,3,Saturday,5,630
2022-03-27,2022,3,Sunday,6,554
2022-03-28,2022,3,Monday,0,561
2022-03-29,2022,3,Tuesday,1,551
2022-03-30,2022,3,Wednesday,2,619
2022-03-31,2022,3,Thursday,3,573
2022-04-01,2022,4,Friday,4,1033
2022-04-02,2022,4,Saturday,5,874
2022-04-03,2022,4,Sunday,6,825
2022-04-04,2022,4,Monday,0,700
2022-04-05,2022,4,Tuesday,1,635
2022-04-06,2022,4,Wednesday,2,640
2022-04-07,2022,4,Thursday,3,684
2022-04-08,2022,4,Friday,4,766
2022-04-09,2022,4,Saturday,5,634
2022-04-10,2022,4,Sunday,6,710
2022-04-11,2022,4,Monday,0,612
2022-04-12,2022,4,Tuesday,1,555
2022-04-13,2022,4,Wednesday,2,601
2022-04-14,2022,4,Thursday,3,623
2022-04-15,2022,4,Friday,4,661
2022-04-16,2022,4,Saturday,5,640
2022-04-17,2022,4,Sunday,6,582
2022-04-18,2022,4,Monday,0,624
2022-04-19,2022,4,Tuesday,1,543
2022-04-20,2022,4,Wednesday,2,571
2022-04-21,2022,4,Thursday,3,614
2022-04-22,2022,4,Friday,4,636
2022-04-23,2022,4,Saturday,5,641
2022-04-24,2022,4,Sunday,6,662
2022-04-25,2022,4,Monday,0,651
2022-04-26,2022,4,Tuesday,1,630
2022-04-27,2022,4,Wednesday,2,645
2022-04-28,2022,4,Thursday,3,592
2022-04-29,2022,4,Friday,4,623
2022-04-30,2022,4,Saturday,5,621
2022-05-01,2022,5,Sunday,6,999
2022-05-02,2022,5,Monday,0,966
2022-05-03,2022,5,Tuesday,1,838
2022-05-04,2022,5,Wednesday,2,680
2022-05-05,2022,5,Thursday,3,670
2022-05-06,2022,5,Friday,4,706
2022-05-07,2022,5,Saturday,5,660
2022-05-08,2022,5,Sunday,6,605
2022-05-09,2022,5,Monday,0,616
2022-05-10,2022,5,Tuesday,1,623
2022-05-11,2022,5,Wednesday,2,586
2022-05-12,2022,5,Thursday,3,633
2022-05-13,2022,5,Friday,4,684
2022-05-14,2022,5,Saturday,5,649
2022-05-15,2022,5,Sunday,6,640
2022-05-16,2022,5,Monday,0,624
2022-05-17,2022,5,Tuesday,1,609
2022-05-18,2022,5,Wednesday,2,652
2022-05-19,2022,5,Thursday,3,608
2022-05-20,2022,5,Friday,4,653
2022-05-21,2022,5,Saturday,5,612
2022-05-22,2022,5,Sunday,6,563
2022-05-23,2022,5,Monday,0,593
2022-05-24,2022,5,Tuesday,1,592
2022-05-25,2022,5,Wednesday,2,625
2022-05-26,2022,5,Thursday,3,601
2022-05-27,2022,5,Friday,4,675
2022-05-28,2022,5,Saturday,5,685
2022-05-29,2022,5,Sunday,6,653
2022-05-30,2022,5,Monday,0,580
2022-05-31,2022,5,Tuesday,1,585
2022-06-01,2022,6,Wednesday,2,1046
2022-06-02,2022,6,Thursday,3,948
2022-06-03,2022,6,Friday,4,946
2022-06-04,2022,6,Saturday,5,701
2022-06-05,2022,6,Sunday,6,673
2022-06-06,2022,6,Monday,0,648
2022-06-07,2022,6,Tuesday,1,674
2022-06-08,2022,6,Wednesday,2,680
2022-06-09,2022,6,Thursday,3,629
2022-06-10,2022,6,Friday,4,753
2022-06-11,2022,6,Saturday,5,702
2022-06-12,2022,6,Sunday,6,651
2022-06-13,2022,6,Monday,0,612
2022-06-14,2022,6,Tuesday,1,600
2022-06-15,2022,6,Wednesday,2,665
2022-06-16,2022,6,Thursday,3,600
2022-06-17,2022,6,Friday,4,636
2022-06-18,2022,6,Saturday,5,617
2022-06-19,2022,6,Sunday,6,597
2022-06-20,2022,6,Monday,0,655
2022-06-21,2022,6,Tuesday,1,668
2022-06-22,2022,6,Wednesday,2,627
2022-06-23,2022,6,Thursday,3,591
2022-06-24,2022,6,Friday,4,634
2022-06-25,2022,6,Saturday,5,650
2022-06-26,2022,6,Sunday,6,634
2022-06-27,2022,6,Monday,0,593
2022-06-28,2022,6,Tuesday,1,616
2022-06-29,2022,6,Wednesday,2,630
2022-06-30,2022,6,Thursday,3,592
2022-07-01,2022,7,Friday,4,1028
2022-07-02,2022,7,Saturday,5,883
2022-07-03,2022,7,Sunday,6,790
2022-07-04,2022,7,Monday,0,665
2022-07-05,2022,7,Tuesday,1,653
2022-07-06,2022,7,Wednesday,2,590
2022-07-07,2022,7,Thursday,3,570
2022-07-08,2022,7,Friday,4,727
2022-07-09,2022,7,Saturday,5,607
2022-07-10,2022,7,Sunday,6,642
2022-07-11,2022,7,Monday,0,552
2022-07-12,2022,7,Tuesday,1,564
2022-07-13,2022,7,Wednesday,2,637
2022-07-14,2022,7,Thursday,3,675
2022-07-15,2022,7,Friday,4,662
2022-07-16,2022,7,Saturday,5,656
2022-07-17,2022,7,Sunday,6,561
