GridLat,GridLon,Total_Crimes,LAT,LON
33.71,-118.31,8,33.7140375,-118.307625
33.71,-118.3,21,33.713276190476186,-118.30050952380952
33.71,-118.29,149,33.710575838926175,-118.28986845637584
33.71,-118.28,6,33.71403333333333,-118.28433333333334
33.72,-118.33,2,33.72025,-118.32535
33.72,-118.32,23,33.719313043478266,-118.32031304347827
33.72,-118.31,59,33.720906779661014,-118.31020000000001
33.72,-118.3,136,33.72209191176471,-118.2989625
33.72,-118.29,197,33.72121675126904,-118.29038934010151
33.72,-118.28,48,33.717852083333334,-118.2829375
33.72,-118.27,7,33.7233,-118.26984285714286
33.73,-118.32,27,33.72822222222222,-118.32064074074073
33.73,-118.31,72,33.730451388888895,-118.30912916666665
33.73,-118.3,212,33.73055990566038,-118.29923490566037
33.73,-118.29,498,33.730393373493975,-118.28986606425703
33.73,-118.28,271,33.73147306273063,-118.28170553505535
33.73,-118.27,4,33.7264,-118.2712
33.73,-118.24,3,33.7315,-118.23989999999999
33.74,-118.32,44,33.741425,-118.31868181818182
33.74,-118.31,95,33.740753684210524,-118.30879157894736
33.74,-118.3,104,33.73841538461539,-118.30054615384614
33.74,-118.29,718,33.73958857938719,-118.29016030640668
33.74,-118.28,465,33.739917634408606,-118.281951827957
33.74,-118.27,8,33.7390375,-118.2694375
33.74,-118.26,16,33.74260625,-118.26141875
33.75,-118.32,6,33.7458,-118.31613333333333
33.75,-118.31,123,33.749959349593496,-118.30854471544714
33.75,-118.3,100,33.750731,-118.29945
33.75,-118.29,197,33.748077664974616,-118.29081675126903
33.75,-118.28,140,33.74737714285715,-118.28129857142856
33.75,-118.26,3,33.7515,-118.25903333333333
33.75,-118.25,8,33.751599999999996,-118.2498
33.76,-118.31,59,33.758105084745765,-118.30616779661017
33.76,-118.3,71,33.76033661971831,-118.2997338028169
33.76,-118.29,151,33.76024701986755,-118.29165231788079
33.76,-118.28,25,33.762884,-118.282736
33.76,-118.27,5,33.76112,-118.26825999999998
33.76,-118.26,3,33.7645,-118.2589
33.76,-118.25,7,33.7649,-118.2485
33.77,-118.31,5,33.7675,-118.30720000000001
33.77,-118.3,23,33.768721739130434,-118.29593913043477
33.77,-118.29,1,33.7655,-118.2938
33.77,-118.28,78,33.77386794871795,-118.27669102564101
33.77,-118.27,159,33.77328050314465,-118.27034213836478
33.77,-118.26,84,33.77273928571429,-118.26144761904763
33.77,-118.25,11,33.77031818181818,-118.25040909090909
33.77,-118.24,8,33.768075,-118.2411
33.78,-118.31,22,33.78052727272728,-118.30779090909091
33.78,-118.3,65,33.78271230769231,-118.30040769230769
33.78,-118.29,5,33.77938,-118.28889999999998
33.78,-118.28,133,33.779509774436086,-118.27765789473685
33.78,-118.27,472,33.78004872881356,-118.27004025423729
33.78,-118.26,442,33.78025294117647,-118.26174343891402
33.78,-118.25,179,33.78044245810056,-118.24900893854749
33.78,-118.24,36,33.78137777777778,-118.24110277777777
33.78,-118.23,36,33.78265555555556,-118.23138055555556
33.78,-118.22,1,33.7835,-118.2216
33.79,-118.31,68,33.79004117647059,-118.30734117647059
33.79,-118.3,377,33.78972838196287,-118.30129416445622
33.79,-118.29,221,33.792274208144796,-118.29158506787331
33.79,-118.28,285,33.789834385964916,-118.27998350877192
33.79,-118.27,266,33.790792481203006,-118.26977067669173
33.79,-118.26,167,33.79014910179641,-118.26081736526946
33.79,-118.25,174,33.78905459770115,-118.24875
33.79,-118.24,78,33.789146153846154,-118.24243333333332
33.79,-118.23,12,33.790866666666666,-118.22970833333333
33.8,-118.31,27,33.80053703703704,-118.30723333333334
33.8,-118.3,135,33.79838074074074,-118.30184
33.8,-118.29,38,33.79689736842105,-118.29152631578948
33.8,-118.28,45,33.79685777777778,-118.27793333333332
33.8,-118.27,42,33.79675952380952,-118.27035
33.8,-118.26,114,33.799319298245614,-118.26165
33.8,-118.25,2,33.7988,-118.2464
33.8,-118.24,20,33.79739,-118.23755000000001
33.8,-118.22,2,33.8046,-118.2226
33.81,-118.31,35,33.81047142857143,-118.30772285714286
33.81,-118.3,48,33.8108875,-118.30116666666667
33.82,-118.31,103,33.81912912621359,-118.30776893203883
33.82,-118.3,134,33.82125373134328,-118.30205970149254
33.82,-118.22,1,33.8243,-118.225
33.83,-118.31,84,33.83051428571429,-118.30678928571429
33.83,-118.3,100,33.830578,-118.302328
33.84,-118.31,97,33.84139587628866,-118.30726082474227
33.84,-118.3,78,33.84183717948718,-118.30276666666666
33.85,-118.31,35,33.84677142857143,-118.30701714285715
33.85,-118.3,127,33.85293779527559,-118.30004881889764
33.85,-118.29,58,33.85129827586207,-118.29154482758621
33.86,-118.31,19,33.85915263157895,-118.30805263157895
33.86,-118.3,123,33.859265853658535,-118.30058048780488
33.86,-118.29,100,33.86175,-118.290425
33.86,-118.28,2,33.863,-118.2816
33.87,-118.31,7,33.86555714285714,-118.3079857142857
33.87,-118.3,21,33.86906666666667,-118.29709523809524
33.87,-118.29,86,33.86987674418605,-118.28695
33.87,-118.28,21,33.8695,-118.28232380952382
33.88,-118.29,150,33.88112133333333,-118.28924533333334
33.88,-118.28,58,33.880822413793105,-118.28333793103448
33.89,-118.29,158,33.89021329113924,-118.28850696202532
33.89,-118.28,37,33.88997027027027,-118.28326486486488
33.9,-118.29,126,33.90137698412698,-118.28909444444444
33.9,-118.28,43,33.900632558139534,-118.2832465116279
33.91,-118.29,94,33.91094468085107,-118.28955531914893
33.91,-118.28,50,33.911952,-118.282652
33.92,-118.43,6,33.921083333333335,-118.42896666666667
33.92,-118.29,233,33.91953004291845,-118.2880660944206
33.92,-118.28,195,33.92059025641026,-118.28187487179487
33.92,-118.27,180,33.924099999999996,-118.27064833333334
33.92,-118.26,39,33.92383076923077,-118.25903846153847
