Hour,DayOfWeekNum,Total_Crimes
0,0,1429
0,1,1532
0,2,1431
0,3,1507
0,4,1471
0,5,1714
0,6,1658
1,0,999
1,1,847
1,2,875
1,3,871
1,4,1021
1,5,1500
1,6,1453
2,0,793
2,1,742
2,2,705
2,3,778
2,4,843
2,5,1104
2,6,1164
3,0,696
3,1,696
3,2,674
3,3,678
3,4,751
3,5,959
3,6,942
4,0,644
4,1,601
4,2,638
4,3,655
4,4,650
4,5,705
4,6,742
5,0,601
5,1,526
5,2,533
5,3,573
5,4,594
5,5,704
5,6,690
6,0,849
6,1,851
6,2,891
6,3,953
6,4,950
6,5,869
6,6,731
7,0,1000
7,1,959
7,2,1072
7,3,1015
7,4,979
7,5,809
7,6,758
8,0,1334
8,1,1380
8,2,1327
8,3,1421
8,4,1432
8,5,1178
8,6,1037
9,0,1302
9,1,1327
9,2,1306
9,3,1321
9,4,1278
9,5,1179
9,6,1052
10,0,1413
10,1,1421
10,2,1466
10,3,1410
10,4,1540
10,5,1562
10,6,1312
11,0,1415
11,1,1483
11,2,1602
11,3,1514
11,4,1625
11,5,1486
11,6,1361
12,0,2391
12,1,2496
12,2,2478
12,3,2411
12,4,2634
12,5,2496
12,6,2225
13,0,1480
13,1,1393
13,2,1520
13,3,1495
13,4,1525
13,5,1523
13,6,1391
14,0,1496
14,1,1508
14,2,1678
14,3,1626
14,4,1658
14,5,1583
14,6,1483
15,0,1634
15,1,1619
15,2,1746
15,3,1701
15,4,1971
15,5,1728
15,6,1514
16,0,1590
16,1,1635
16,2,1676
16,3,1619
16,4,1919
16,5,1711
16,6,1534
17,0,1838
17,1,1837
17,2,1851
17,3,1810
17,4,2186
17,5,1753
17,6,1633
18,0,1914
18,1,1942
18,2,1944
18,3,1895
18,4,2121
18,5,1888
18,6,1692
19,0,1722
19,1,1740
19,2,1743
19,3,1749
19,4,1989
19,5,1722
19,6,1606
20,0,1701
20,1,1629
20,2,1779
20,3,1774
20,4,1905
20,5,1855
20,6,1727
21,0,1558
21,1,1516
21,2,1564
21,3,1594
21,4,1755
21,5,1710
21,6,1622
22,0,1498
22,1,1519
22,2,1461
22,3,1582
22,4,1807
22,5,1888
22,6,1700
23,0,1202
23,1,1147
23,2,1184
23,3,1278
23,4,1649
23,5,1702
23,6,1324
