YearMonth,AREA NAME,Count,LAT,LON
2022-01,77th Street,1026,33.97802202729044,-118.29636608187134
2022-01,Central,1292,34.04707848297214,-118.25168970588236
2022-01,Devonshire,821,34.2498365408039,-118.5384065773447
2022-01,Foothill,655,34.248363053435114,-118.38132274809159
2022-01,Harbor,783,33.77054789272031,-118.28496704980843
2022-01,Hollenbeck,614,34.05292866449512,-118.20301074918567
2022-01,Hollywood,1017,34.09919390363815,-118.330367453294
2022-01,Mission,819,34.25889133089133,-118.44967777777778
2022-01,N Hollywood,958,34.171304801670146,-118.38465542797495
2022-01,Newton,823,34.009724301336576,-118.26031032806804
2022-01,Northeast,825,34.10784072727273,-118.24484909090909
2022-01,Olympic,1024,34.06102626953125,-118.30064072265625
2022-01,Pacific,1118,33.983822450805015,-118.42523550983898
2022-01,Rampart,872,34.063492889908254,-118.27452316513761
2022-01,Southeast,858,33.937347785547786,-118.26710582750583
2022-01,Southwest,920,34.01968293478261,-118.31802597826086
2022-01,Topanga,766,34.19236657963447,-118.60123759791122
2022-01,Van Nuys,786,34.17793918575064,-118.4461631043257
2022-01,West LA,864,34.05126817129629,-118.44025324074074
2022-01,West Valley,833,34.187343097238895,-118.52050660264105
2022-01,Wilshire,872,34.062652637614676,-118.35281846330275
2022-02,77th Street,1045,33.978166507177036,-118.29670153110048
2022-02,Central,1209,34.04735384615385,-118.25091910669977
2022-02,Devonshire,739,34.2491549391069,-118.54120595399188
2022-02,Foothill,662,34.24961042296072,-118.37889592145015
2022-02,Harbor,684,33.77534444444444,-118.28592090643275
2022-02,Hollenbeck,615,34.05299869918699,-118.20287886178862
2022-02,Hollywood,1013,34.09904422507404,-118.32922902270484
2022-02,Mission,781,34.25629129321383,-118.45000985915493
2022-02,N Hollywood,846,34.17083226950354,-118.38396725768321
2022-02,Newton,1004,34.00957081673307,-118.26095866533865
2022-02,Northeast,769,34.10701989596879,-118.24734174252275
2022-02,Olympic,954,34.06055471698113,-118.30008700209643
2022-02,Pacific,961,33.98482008324662,-118.4250441207076
2022-02,Rampart,828,34.06279891304348,-118.27410096618358
2022-02,Southeast,755,33.93930264900662,-118.26680874172186
2022-02,Southwest,1004,34.020066235059765,-118.31578834661354
2022-02,Topanga,756,34.19261097883598,-118.60055357142858
2022-02,Van Nuys,709,34.178396897038084,-118.44617461212975
2022-02,West LA,808,34.05013935643564,-118.44092673267328
2022-02,West Valley,755,34.1870178807947,-118.51822185430464
2022-02,Wilshire,849,34.063588928150764,-118.35456419316843
2022-03,77th Street,1188,33.977794865319865,-118.29646203703705
2022-03,Central,1453,34.04768224363386,-118.25024404679972
2022-03,Devonshire,784,34.250916964285715,-118.53773928571428
2022-03,Foothill,628,34.24795334394904,-118.37469729299362
2022-03,Harbor,763,33.77191677588466,-118.2852479685452
2022-03,Hollenbeck,737,34.052762822252376,-118.20312048846677
2022-03,Hollywood,1055,34.09926786729858,-118.32937687203791
2022-03,Mission,833,34.257528691476594,-118.45124957983194
2022-03,N Hollywood,959,34.17133743482794,-118.38473983315954
2022-03,Newton,963,34.008983281412256,-118.26100965732087
2022-03,Northeast,826,34.10760447941889,-118.24534939467311
2022-03,Olympic,1000,34.0600757,-118.30038640000001
2022-03,Pacific,1214,33.985091350906096,-118.42404612850082
2022-03,Rampart,1035,34.062824057971014,-118.27338289855072
2022-03,Southeast,1022,33.93872788649706,-118.2666097847358
2022-03,Southwest,1119,34.01997560321716,-118.31644664879357
2022-03,Topanga,755,34.19229827814569,-118.60003708609273
2022-03,Van Nuys,756,34.17916296296296,-118.44692288359788
2022-03,West LA,896,34.051407142857144,-118.44032901785714
2022-03,West Valley,828,34.188664734299515,-118.52097053140096
2022-03,Wilshire,920,34.06163152173913,-118.35122032608695
2022-04,77th Street,1246,33.97787199036918,-118.2963408507223
2022-04,Central,1516,34.04736846965699,-118.2503848944591
2022-04,Devonshire,797,34.24918168130489,-118.5417322459222
2022-04,Foothill,629,34.2494933227345,-118.37933577106517
2022-04,Harbor,778,33.7728264781491,-118.2858440874036
2022-04,Hollenbeck,685,34.055462773722624,-118.20354832116789
2022-04,Hollywood,1037,34.09935949855352,-118.32923712632595
2022-04,Mission,783,34.25462349936143,-118.45171685823755
2022-04,N Hollywood,937,34.1712772678762,-118.38483927427961
2022-04,Newton,954,34.00851394129979,-118.26126572327044
2022-04,Northeast,855,34.10679906432748,-118.24662175438597
2022-04,Olympic,1041,34.06024159462056,-118.30000038424592
2022-04,Pacific,1161,33.98489112833764,-118.42471016365204
2022-04,Rampart,1009,34.06410733399405,-118.27481328047573
2022-04,Southeast,969,33.93957430340558,-118.26743054695562
2022-04,Southwest,1119,34.02040840035746,-118.31507363717606
2022-04,Topanga,747,34.1914639892905,-118.60127536813923
2022-04,Van Nuys,846,34.178913829787234,-118.44813522458628
2022-04,West LA,903,34.05246722037652,-118.43829401993356
2022-04,West Valley,893,34.1864006718925,-118.52237110862262
2022-04,Wilshire,923,34.06189913326111,-118.35178743228603
2022-05,77th Street,1368,33.97876593567252,-118.29724078947368
2022-05,Central,1489,34.04773310946944,-118.25019288112827
2022-05,Devonshire,768,34.250547265625,-118.53999388020833
2022-05,Foothill,736,34.246984239130434,-118.38348885869564
2022-05,Harbor,742,33.773641509433965,-118.2870421832884
