Quarter,AREA NAME,Count,LAT,LON
2022Q1,77th Street,3259,33.97798554771402,-118.29650862227678
2022Q1,Central,3954,34.04738454729388,-118.25092283763277
2022Q1,Devonshire,2344,34.24998302047781,-118.53906595563139
2022Q1,Foothill,1945,34.24865532133676,-118.37835753213368
2022Q1,Harbor,2230,33.77248748878924,-118.28535573991032
2022Q1,Hollenbeck,1966,34.052888402848424,-118.20301063072228
2022Q1,Hollywood,3085,34.09917004862236,-118.32965487844409
2022Q1,Mission,2433,34.25759017673654,-118.45032252363337
2022Q1,N Hollywood,2763,34.17117144408252,-118.38447401375318
2022Q1,Newton,2790,34.00941329749104,-118.26078501792114
2022Q1,Northeast,2420,34.107499256198345,-118.24581194214875
2022Q1,Olympic,2978,34.060556010745465,-118.30037793821356
2022Q1,Pacific,3293,33.98458138475554,-118.42474117825691
2022Q1,Rampart,2735,34.06302968921389,-118.27396383912247
2022Q1,Southeast,2635,33.93844318785579,-118.26682831119544
2022Q1,Southwest,3043,34.01991702267499,-118.31670693394676
2022Q1,Topanga,2277,34.19242507685551,-118.60061242863416
2022Q1,Van Nuys,2251,34.178494358063084,-118.44642190137716
2022Q1,West LA,2568,34.05096148753894,-118.44049158878504
2022Q1,West Valley,2416,34.18769441225166,-118.51995161423841
2022Q1,Wilshire,2641,34.06259791745551,-118.35282294585384
2022Q2,77th Street,3925,33.97837021656051,-118.2966698089172
2022Q2,Central,4476,34.04749767649687,-118.25028277479892
2022Q2,Devonshire,2410,34.24980663900415,-118.54117580912862
2022Q2,Foothill,2062,34.247972308438406,-118.38145999030068
2022Q2,Harbor,2271,33.77167551739322,-118.28613848524877
2022Q2,Hollenbeck,2177,34.05447161231052,-118.20360036747819
2022Q2,Hollywood,3258,34.0994037446286,-118.32968394720687
2022Q2,Mission,2399,34.25487298874531,-118.45081979991663
2022Q2,N Hollywood,2927,34.17248435257943,-118.38534455073454
2022Q2,Newton,3052,34.00968332241153,-118.26106844692006
2022Q2,Northeast,2611,34.10665587897357,-118.24646039831481
2022Q2,Olympic,3080,34.060434025974025,-118.30017948051949
2022Q2,Pacific,3323,33.98447448089076,-118.42490096298525
2022Q2,Rampart,2982,34.0634617370892,-118.27438376928237
2022Q2,Southeast,3181,33.938030273498896,-118.26671681861049
2022Q2,Southwest,3389,34.02029306580112,-118.31625228681027
2022Q2,Topanga,2474,34.192170776071144,-118.60086038803558
2022Q2,Van Nuys,2476,34.179733642972536,-118.44748033117934
2022Q2,West LA,2758,34.05205206671501,-118.43968604060913
2022Q2,West Valley,2599,34.1862986533282,-118.52149530588687
2022Q2,Wilshire,2731,34.06180746979128,-118.35105342365435
2022Q3,77th Street,3718,33.977348655190966,-118.29726880043034
2022Q3,Central,4792,34.047383430717865,-118.25074133973288
2022Q3,Devonshire,2374,34.24957594776748,-118.53986352148273
2022Q3,Foothill,1940,34.24837819587629,-118.37860231958763
2022Q3,Harbor,2411,33.77148855246786,-118.28506905848195
2022Q3,Hollenbeck,2203,34.05296087153881,-118.20418202451202
2022Q3,Hollywood,3267,34.09935240281604,-118.33001392715029
2022Q3,Mission,2222,34.254080828082806,-118.45080355535555
2022Q3,N Hollywood,2780,34.171962086330936,-118.38419823741008
2022Q3,Newton,3149,34.010026389329944,-118.26026970466815
2022Q3,Northeast,2603,34.10684145217057,-118.24394613907032
2022Q3,Olympic,3020,34.06057850993378,-118.30058622516556
2022Q3,Pacific,3199,33.984414973429196,-118.4230538918412
2022Q3,Rampart,2723,34.063458795446195,-118.2743497612927
2022Q3,Southeast,2997,33.939434534534534,-118.26713253253253
2022Q3,Southwest,3342,34.02010667265111,-118.31553539796529
2022Q3,Topanga,2380,34.192599831932775,-118.6014044957983
2022Q3,Van Nuys,2472,34.17858535598705,-118.4471215210356
2022Q3,West LA,2545,34.05190907662083,-118.43971465618861
2022Q3,West Valley,2553,34.18908401880141,-118.52196784175482
2022Q3,Wilshire,2776,34.061306700288185,-118.35193436599424
2022Q4,77th Street,3666,33.97765275504637,-118.29808289689034
2022Q4,Central,4488,34.04737896613191,-118.2506686942959
2022Q4,Devonshire,2458,34.25001090317331,-118.5391127746135
2022Q4,Foothill,1917,34.24781272822118,-118.37568690662494
2022Q4,Harbor,2283,33.77152045554096,-118.28495773105563
2022Q4,Hollenbeck,2175,34.05399075862069,-118.20277089655171
2022Q4,Hollywood,2932,34.099358594815826,-118.32872141882673
2022Q4,Mission,2217,34.253400586377985,-118.45062828146143
2022Q4,N Hollywood,2721,34.17167511944138,-118.38525567805954
2022Q4,Newton,2939,34.01008448451854,-118.26058506294659
2022Q4,Northeast,2547,34.107728543384376,-118.24398288182176
2022Q4,Olympic,2981,34.06020583696746,-118.30078302583027
2022Q4,Pacific,3231,33.98454060662334,-118.4222304549675
2022Q4,Rampart,2763,34.06365584509591,-118.27412247557002
2022Q4,Southeast,2933,33.938950630753496,-118.26693419706785
2022Q4,Southwest,3636,34.02050390539054,-118.31583613861386
2022Q4,Topanga,2329,34.1929453842851,-118.60090893087161
2022Q4,Van Nuys,2513,34.178512733784316,-118.44703573418225
2022Q4,West LA,2635,34.05168277039848,-118.43941024667933
2022Q4,West Valley,2714,34.18617251289609,-118.52053813559323
2022Q4,Wilshire,3020,34.061593211920524,-118.3513125165563
